symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
XAUUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,256,52.73,0.582,1.97,66.7,38.07
XAUUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,289,51.9,0.557,1.9,66.7,37.24
XAUUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,156,51.92,0.558,1.82,50.0,28.92
XAUUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,166,51.81,0.554,1.77,50.0,28.81
XAUUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,184,51.63,0.549,1.82,50.0,28.63
XAUUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,228,51.32,0.539,1.8,50.0,28.32
XAUUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,152,51.32,0.539,1.74,50.0,28.32
XAUUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,178,51.12,0.534,1.75,50.0,28.12
XAUUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,262,50.38,0.511,1.73,50.0,27.38
XAUUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,172,52.33,0.57,1.85,33.3,20.99
XAUUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,202,51.98,0.559,1.85,33.3,20.65
XAUUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,195,51.79,0.554,1.8,33.3,20.46
XAUUSD,OR,f_candle|f_ema,10,1,0.9,NY07-16,698,46.28,0.388,1.52,33.3,14.94
XAUUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,773,46.18,0.386,1.55,33.3,14.85
XAUUSD,OR,f_candle|f_ema,10,1,0.9,NY08-12,518,45.75,0.373,1.44,16.7,6.09
XAUUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,564,45.57,0.367,1.45,16.7,5.9
XAUUSD,OR,f_candle|f_ema,10,1,0.9,NY08-13,565,45.49,0.365,1.45,16.7,5.82
XAUUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,618,45.47,0.364,1.47,16.7,5.8
