entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2024-12-27 14:25:00,2024-12-27 14:55:00,S,2629.74,2625.75448,2631.73276,2625.75448,2.0,tp,7.97,0.34,7.63,7.63
2024-12-27 22:05:00,2024-12-27 23:55:00,S,2618.0,2621.44449,2621.44449,2611.11102,-1.0,sl,-6.89,0.34,-7.23,0.4
2024-12-30 14:40:00,2024-12-30 14:40:00,S,2618.43,2619.59301,2619.59301,2616.10398,-1.0,sl,-2.33,0.34,-2.67,-2.27
2024-12-30 15:05:00,2024-12-30 15:35:00,S,2620.04,2614.81845,2622.65077,2614.81845,2.0,tp,10.44,0.34,10.1,7.83
2024-12-30 23:00:00,2024-12-31 03:25:00,S,2607.64,2609.60342,2609.60342,2603.71317,-1.0,sl,-3.93,0.34,-4.27,3.56
2025-01-02 15:50:00,2025-01-02 18:20:00,L,2642.55,2656.10278,2635.77361,2656.10278,2.0,tp,27.11,0.34,26.77,30.33
2025-01-03 15:10:00,2025-01-03 15:15:00,L,2655.28,2653.32115,2653.32115,2659.1977,-1.0,sl,-3.92,0.34,-4.26,26.07
2025-01-03 15:35:00,2025-01-03 15:35:00,L,2650.3,2647.63544,2647.63544,2655.62912,-1.0,sl,-5.33,0.34,-5.67,20.4
2025-01-03 16:30:00,2025-01-03 17:15:00,L,2649.19,2643.13794,2643.13794,2661.29412,-1.0,sl,-12.1,0.34,-12.44,7.96
2025-01-07 17:15:00,2025-01-08 02:15:00,L,2648.46,2650.31,2641.6568,2662.06639,0.272,time,3.7,0.34,3.36,11.32
2025-01-08 14:40:00,2025-01-08 16:00:00,L,2650.57,2660.37941,2645.66529,2660.37941,2.0,tp,19.62,0.34,19.28,30.6
2025-01-08 21:10:00,2025-01-09 06:10:00,L,2657.99,2658.86,2651.28452,2671.40096,0.13,time,1.74,0.34,1.4,32.0
2025-01-09 19:50:00,2025-01-10 04:20:00,L,2666.25,2673.81858,2662.46571,2673.81858,2.0,tp,15.14,0.34,14.8,46.8
2025-01-10 14:50:00,2025-01-10 15:30:00,L,2679.54,2674.69289,2674.69289,2689.23423,-1.0,sl,-9.69,0.34,-10.03,36.77
2025-01-10 15:50:00,2025-01-10 23:50:00,L,2680.56,2689.17,2663.48298,2714.71404,0.504,time,17.22,0.34,16.88,53.65
2025-01-14 17:05:00,2025-01-15 02:05:00,L,2668.62,2675.45,2659.56728,2686.72545,0.754,time,13.66,0.34,13.32,66.97
2025-01-15 17:35:00,2025-01-15 20:05:00,L,2681.96,2693.16375,2676.35813,2693.16375,2.0,tp,22.41,0.34,22.07,89.04
2025-01-16 15:15:00,2025-01-16 17:05:00,L,2706.38,2719.28,2699.93,2719.28,2.0,tp,25.8,0.34,25.46,114.5
2025-01-16 21:05:00,2025-01-16 22:00:00,L,2716.86,2714.63504,2714.63504,2721.30992,-1.0,sl,-4.45,0.34,-4.79,109.71
2025-01-16 22:20:00,2025-01-16 23:05:00,L,2715.57,2714.24492,2714.24492,2718.22016,-1.0,sl,-2.65,0.34,-2.99,106.72
2025-01-20 16:05:00,2025-01-21 03:30:00,L,2708.07,2711.86,2701.58323,2721.04354,0.584,time,7.58,0.34,7.24,113.96
2025-01-21 14:05:00,2025-01-21 16:55:00,L,2723.18,2736.88825,2716.32587,2736.88825,2.0,tp,27.42,0.34,27.08,141.04
2025-01-22 14:20:00,2025-01-22 14:30:00,L,2754.47,2753.48971,2753.48971,2756.43059,-1.0,sl,-1.96,0.34,-2.3,138.74
2025-01-22 14:35:00,2025-01-22 15:00:00,L,2754.28,2759.64378,2751.59811,2759.64378,2.0,tp,10.73,0.34,10.39,149.13
2025-01-23 16:05:00,2025-01-23 18:50:00,L,2742.75,2757.26603,2735.49198,2757.26603,2.0,tp,29.03,0.34,28.69,177.82
2025-01-23 22:25:00,2025-01-24 02:40:00,L,2754.2,2760.22264,2751.18868,2760.22264,2.0,tp,12.05,0.34,11.71,189.53
2025-01-24 17:00:00,2025-01-24 18:45:00,L,2778.31,2773.57165,2773.57165,2787.78671,-1.0,sl,-9.48,0.34,-9.82,179.71
2025-01-24 19:30:00,2025-01-27 01:00:00,L,2775.39,2769.61953,2769.61953,2786.93093,-1.0,sl,-11.54,0.34,-11.88,167.83
2025-01-29 14:20:00,2025-01-29 14:20:00,L,2757.47,2756.05341,2756.05341,2760.30318,-1.0,sl,-2.83,0.34,-3.17,164.66
2025-01-29 15:00:00,2025-01-29 15:00:00,L,2756.48,2758.70931,2755.36534,2758.70931,2.0,tp,4.46,0.34,4.12,168.78
2025-01-29 15:10:00,2025-01-29 15:15:00,L,2757.48,2755.3598,2755.3598,2761.7204,-1.0,sl,-4.24,0.34,-4.58,164.2
2025-01-29 15:40:00,2025-01-29 17:25:00,L,2757.43,2752.01612,2752.01612,2768.25775,-1.0,sl,-10.83,0.34,-11.17,153.03
2025-01-31 20:40:00,2025-01-31 22:00:00,L,2801.12,2794.90994,2794.90994,2813.54012,-1.0,sl,-12.42,0.34,-12.76,140.27
2025-01-31 22:10:00,2025-01-31 22:55:00,L,2796.46,2801.26723,2794.05639,2801.26723,2.0,tp,9.61,0.34,9.27,149.54
2025-02-05 16:30:00,2025-02-05 17:40:00,L,2864.78,2877.74417,2858.29792,2877.74417,2.0,tp,25.93,0.34,25.59,175.13
2025-02-05 21:25:00,2025-02-05 22:00:00,L,2868.37,2862.50216,2862.50216,2880.10569,-1.0,sl,-11.74,0.34,-12.08,163.05
2025-02-07 15:25:00,2025-02-07 15:30:00,L,2862.13,2860.02162,2860.02162,2866.34675,-1.0,sl,-4.22,0.34,-4.56,158.49
2025-02-07 15:40:00,2025-02-07 23:40:00,L,2867.89,2860.83,2851.93677,2899.79647,-0.443,time,-14.12,0.34,-14.46,144.03
2025-02-10 19:30:00,2025-02-10 19:30:00,L,2899.11,2897.78411,2897.78411,2901.76178,-1.0,sl,-2.65,0.34,-2.99,141.04
2025-02-10 19:40:00,2025-02-10 20:25:00,L,2899.78,2906.74871,2896.29565,2906.74871,2.0,tp,13.94,0.34,13.6,154.64
2025-02-11 15:40:00,2025-02-11 23:40:00,L,2894.66,2898.75,2881.26649,2921.44702,0.305,time,8.18,0.34,7.84,162.48
2025-02-12 16:10:00,2025-02-13 01:10:00,L,2886.77,2904.26,2863.5082,2933.29359,0.752,time,34.98,0.34,34.64,197.12
2025-02-13 16:05:00,2025-02-13 17:00:00,L,2909.79,2918.27072,2905.54964,2918.27072,2.0,tp,16.96,0.34,16.62,213.74
2025-02-14 14:15:00,2025-02-14 14:40:00,L,2931.01,2929.03686,2929.03686,2934.95627,-1.0,sl,-3.95,0.34,-4.29,209.45
2025-02-14 15:35:00,2025-02-14 15:40:00,L,2932.51,2925.76271,2925.76271,2946.00458,-1.0,sl,-13.49,0.34,-13.83,195.62
2025-02-14 16:15:00,2025-02-14 17:15:00,L,2922.27,2913.80603,2913.80603,2939.19794,-1.0,sl,-16.93,0.34,-17.27,178.35
2025-02-19 14:35:00,2025-02-19 16:25:00,L,2935.09,2930.98034,2930.98034,2943.30932,-1.0,sl,-8.22,0.34,-8.56,169.79
2025-02-19 20:20:00,2025-02-19 20:20:00,L,2921.71,2919.87561,2919.87561,2925.37878,-1.0,sl,-3.67,0.34,-4.01,165.78
2025-02-19 20:45:00,2025-02-20 02:05:00,L,2924.82,2937.78018,2918.33991,2937.78018,2.0,tp,25.92,0.34,25.58,191.36
2025-02-20 14:10:00,2025-02-20 14:10:00,L,2950.51,2946.9921,2946.9921,2957.54579,-1.0,sl,-7.04,0.34,-7.38,183.98
