entry_time,symbol,net_$,equity_$,drawdown_%
2026-02-17 14:50:00,XAUUSD,38.56,1038.56,0.0
2026-02-17 15:10:00,EURCAD,1.94,1040.5,0.0
2026-02-17 15:35:00,GBPUSD,-4.76,1035.74,-0.46
2026-02-17 16:40:00,EURCAD,-2.23,1033.51,-0.67
2026-02-17 17:50:00,GBPCAD,-3.2,1030.31,-0.98
2026-02-17 19:05:00,EURCAD,-0.06,1030.25,-0.99
2026-02-17 21:30:00,XAUUSD,-55.18,975.07,-6.29
2026-02-18 15:15:00,GBPUSD,1.73,976.8,-6.12
2026-02-18 15:35:00,GBPUSD,6.71,983.51,-5.48
2026-02-18 16:05:00,EURCAD,1.19,984.7,-5.36
2026-02-18 16:10:00,GBPCAD,3.21,987.91,-5.05
2026-02-18 16:55:00,EURCAD,1.64,989.55,-4.9
2026-02-18 19:35:00,GBPUSD,6.6,996.15,-4.26
2026-02-19 14:05:00,XAUUSD,-16.93,979.22,-5.89
2026-02-19 15:05:00,EURCAD,-0.25,978.97,-5.91
2026-02-19 16:15:00,GBPCAD,-2.93,976.04,-6.2
2026-02-19 16:20:00,GBPUSD,-6.39,969.65,-6.81
2026-02-19 16:40:00,XAUUSD,27.98,997.63,-4.12
2026-02-19 17:45:00,GBPCAD,-0.47,997.16,-4.17
2026-02-19 18:10:00,GBPUSD,-2.88,994.28,-4.44
2026-02-20 14:45:00,XAUUSD,74.15,1068.43,0.0
2026-02-20 15:05:00,AUDCAD,1.66,1070.09,0.0
2026-02-23 17:15:00,USDMXN,5.21,1075.3,0.0
2026-02-23 17:35:00,GBPUSD,2.34,1077.64,0.0
2026-02-24 17:05:00,AUDCAD,2.9,1080.54,0.0
2026-02-25 15:05:00,EURCAD,-1.2,1079.34,-0.11
2026-02-25 16:40:00,USDMXN,-4.45,1074.89,-0.52
2026-02-25 16:50:00,XAUUSD,-47.32,1027.57,-4.9
2026-02-25 17:40:00,USDMXN,4.61,1032.18,-4.48
2026-02-26 14:25:00,XAUUSD,-37.57,994.61,-7.95
2026-02-26 17:15:00,GBPUSD,5.7,1000.31,-7.42
2026-02-26 17:15:00,GBPCAD,3.19,1003.5,-7.13
2026-02-26 17:30:00,EURCAD,1.05,1004.55,-7.03
2026-02-26 17:40:00,XAUUSD,12.22,1016.77,-5.9
2026-02-26 17:45:00,GBPCAD,6.88,1023.65,-5.26
2026-02-26 18:05:00,GBPUSD,3.68,1027.33,-4.92
2026-02-26 21:55:00,USDMXN,-1.82,1025.51,-5.09
2026-02-27 15:05:00,GBPCAD,3.55,1029.06,-4.76
2026-02-27 15:05:00,GBPUSD,-3.08,1025.98,-5.05
2026-02-27 15:25:00,EURCAD,3.05,1029.03,-4.77
2026-02-27 15:40:00,GBPCAD,7.63,1036.66,-4.06
2026-02-27 17:25:00,EURCAD,3.35,1040.01,-3.75
2026-03-02 14:05:00,USDMXN,4.94,1044.95,-3.29
2026-03-02 15:05:00,GBPCAD,-4.29,1040.66,-3.69
2026-03-02 15:25:00,EURCAD,-2.14,1038.52,-3.89
2026-03-02 15:25:00,GBPUSD,-3.8,1034.72,-4.24
2026-03-02 17:25:00,EURCAD,-2.73,1031.99,-4.49
2026-03-02 17:25:00,GBPUSD,-6.35,1025.64,-5.08
2026-03-02 17:25:00,GBPCAD,-4.58,1021.06,-5.5
2026-03-02 22:10:00,USDMXN,-2.2,1018.86,-5.71
2026-03-03 15:10:00,GBPCAD,-3.36,1015.5,-6.02
2026-03-03 15:30:00,EURCAD,3.35,1018.85,-5.71
2026-03-03 15:30:00,GBPUSD,7.24,1026.09,-5.04
2026-03-03 16:35:00,EURCAD,4.79,1030.88,-4.6
2026-03-03 17:20:00,GBPCAD,-4.84,1026.04,-5.04
2026-03-03 17:20:00,GBPUSD,-12.17,1013.87,-6.17
2026-03-03 18:50:00,EURCAD,-3.14,1010.73,-6.46
2026-03-03 19:35:00,GBPUSD,-4.34,1006.39,-6.86
2026-03-03 20:45:00,USDMXN,3.3,1009.69,-6.56
2026-03-03 21:10:00,USDMXN,3.53,1013.22,-6.23
2026-03-04 17:05:00,GBPCAD,4.36,1017.58,-5.83
2026-03-05 15:05:00,GBPCAD,-3.6,1013.98,-6.16
2026-03-05 15:20:00,GBPUSD,4.6,1018.58,-5.73
2026-03-05 15:25:00,EURCAD,-4.52,1014.06,-6.15
2026-03-05 16:15:00,GBPUSD,9.36,1023.42,-5.29
2026-03-05 16:55:00,GBPCAD,-4.43,1018.99,-5.7
2026-03-06 15:10:00,EURCAD,-2.45,1016.54,-5.92
2026-03-06 16:00:00,GBPCAD,7.73,1024.27,-5.21
2026-03-06 16:05:00,GBPUSD,-9.72,1014.55,-6.11
2026-03-06 16:15:00,EURCAD,8.87,1023.42,-5.29
2026-03-10 21:05:00,XAUUSD,18.9,1042.32,-3.54
2026-03-11 15:15:00,GBPUSD,-4.96,1037.36,-4.0
2026-03-11 15:50:00,EURCAD,-2.1,1035.26,-4.19
2026-03-11 16:25:00,EURCAD,2.63,1037.89,-3.95
2026-03-11 17:10:00,GBPUSD,5.76,1043.65,-3.41
2026-03-11 18:05:00,GBPCAD,4.19,1047.84,-3.03
2026-03-12 14:25:00,XAUUSD,27.43,1075.27,-0.49
2026-03-12 15:00:00,XAUUSD,-35.39,1039.88,-3.76
2026-03-12 15:20:00,EURCAD,-3.87,1036.01,-4.12
2026-03-12 15:55:00,GBPCAD,-1.24,1034.77,-4.24
2026-03-12 15:55:00,GBPUSD,4.9,1039.67,-3.78
2026-03-12 19:55:00,EURCAD,1.88,1041.55,-3.61
2026-03-13 15:10:00,XAUUSD,29.9,1071.45,-0.84
2026-03-13 15:35:00,AUDCAD,7.12,1078.57,-0.18
2026-03-13 15:40:00,XAUUSD,63.63,1142.2,0.0
2026-03-13 16:10:00,GBPUSD,6.93,1149.13,0.0
2026-03-13 16:15:00,USDMXN,12.61,1161.74,0.0
2026-03-13 17:50:00,GBPUSD,-1.34,1160.4,-0.12
2026-03-16 14:05:00,XAUUSD,-46.05,1114.35,-4.08
2026-03-16 15:05:00,XAUUSD,-20.94,1093.41,-5.88
2026-03-16 15:40:00,XAUUSD,-14.82,1078.59,-7.16
2026-03-16 16:15:00,XAUUSD,40.34,1118.93,-3.68
2026-03-16 21:05:00,XAUUSD,-11.97,1106.96,-4.72
2026-03-16 21:15:00,XAUUSD,-18.27,1088.69,-6.29
2026-03-17 14:40:00,XAUUSD,-14.65,1074.04,-7.55
2026-03-17 16:05:00,XAUUSD,19.8,1093.84,-5.84
2026-03-18 15:35:00,GBPUSD,-4.83,1089.01,-6.26
2026-03-18 16:55:00,GBPCAD,-3.99,1085.02,-6.6
2026-03-18 18:15:00,EURCAD,4.44,1089.46,-6.22
2026-03-18 19:45:00,XAUUSD,19.9,1109.36,-4.51
2026-03-18 20:10:00,XAUUSD,64.36,1173.72,0.0
2026-03-19 15:30:00,GBPCAD,-3.72,1170.0,-0.32
2026-03-19 15:50:00,GBPCAD,12.33,1182.33,0.0
2026-03-20 15:40:00,GBPUSD,9.26,1191.59,0.0
2026-03-20 16:00:00,GBPCAD,9.58,1201.17,0.0
2026-03-23 17:20:00,AUDCAD,7.05,1208.22,0.0
2026-03-23 17:20:00,XAUUSD,69.78,1278.0,0.0
2026-03-23 18:50:00,GBPCAD,2.15,1280.15,0.0
2026-03-24 15:10:00,GBPUSD,-7.27,1272.88,-0.57
2026-03-24 16:10:00,EURCAD,3.76,1276.64,-0.27
2026-03-24 16:10:00,GBPCAD,5.36,1282.0,0.0
2026-03-24 16:55:00,GBPCAD,5.27,1287.27,0.0
2026-03-24 17:20:00,GBPUSD,-6.79,1280.48,-0.53
2026-03-24 17:40:00,EURCAD,-2.12,1278.36,-0.69
2026-03-24 19:05:00,AUDCAD,-3.71,1274.65,-0.98
2026-03-25 15:05:00,GBPUSD,6.72,1281.37,-0.46
2026-03-25 16:50:00,GBPCAD,-1.98,1279.39,-0.61
2026-03-26 15:10:00,GBPCAD,5.57,1284.96,-0.18
2026-03-26 16:15:00,EURCAD,2.04,1287.0,-0.02
2026-03-26 16:40:00,EURCAD,0.05,1287.05,-0.02
2026-03-26 16:55:00,XAUUSD,123.44,1410.49,0.0
2026-03-26 16:55:00,GBPUSD,3.02,1413.51,0.0
2026-03-26 17:00:00,GBPCAD,-4.83,1408.68,-0.34
2026-03-27 15:25:00,XAUUSD,-38.06,1370.62,-3.03
2026-03-27 15:30:00,EURCAD,-1.67,1368.95,-3.15
2026-03-27 16:50:00,GBPCAD,-5.02,1363.93,-3.51
