entry_time,symbol,net_$,equity_$,drawdown_%
2023-01-03 14:10:00,USDMXN,5.84,1005.84,0.0
2023-01-03 16:35:00,EURCAD,5.87,1011.71,0.0
2023-01-03 17:00:00,AUDCAD,-1.07,1010.64,-0.11
2023-01-03 17:25:00,EURCAD,-2.88,1007.76,-0.39
2023-01-03 18:05:00,GBPUSD,4.34,1012.1,0.0
2023-01-03 20:00:00,GBPCAD,1.64,1013.74,0.0
2023-01-04 15:10:00,GBPCAD,7.1,1020.84,0.0
2023-01-04 15:25:00,XAUUSD,-9.46,1011.38,-0.93
2023-01-04 15:30:00,GBPUSD,-5.51,1005.87,-1.47
2023-01-04 15:50:00,EURCAD,8.16,1014.03,-0.67
2023-01-04 17:15:00,USDMXN,-3.22,1010.81,-0.98
2023-01-04 17:30:00,XAUUSD,-15.98,994.83,-2.55
2023-01-04 17:45:00,GBPUSD,0.74,995.57,-2.48
2023-01-04 18:10:00,USDMXN,-6.93,988.64,-3.15
2023-01-04 18:40:00,GBPCAD,0.41,989.05,-3.11
2023-01-04 21:35:00,XAUUSD,0.12,989.17,-3.1
2023-01-05 15:05:00,AUDCAD,2.76,991.93,-2.83
2023-01-05 15:10:00,EURCAD,4.7,996.63,-2.37
2023-01-05 15:10:00,GBPUSD,10.69,1007.32,-1.32
2023-01-05 16:30:00,EURCAD,-4.19,1003.13,-1.73
2023-01-05 16:35:00,GBPUSD,1.62,1004.75,-1.58
2023-01-05 16:35:00,GBPCAD,-5.1,999.65,-2.08
2023-01-05 19:00:00,EURCAD,2.31,1001.96,-1.85
2023-01-05 19:50:00,GBPCAD,-2.63,999.33,-2.11
2023-01-05 21:00:00,XAUUSD,6.26,1005.59,-1.49
2023-01-06 15:35:00,GBPCAD,-10.9,994.69,-2.56
2023-01-06 15:35:00,EURCAD,-2.19,992.5,-2.78
2023-01-06 17:05:00,GBPUSD,26.53,1019.03,-0.18
2023-01-06 17:05:00,AUDCAD,11.14,1030.17,0.0
2023-01-09 15:05:00,AUDCAD,4.99,1035.16,0.0
2023-01-09 15:10:00,GBPUSD,5.62,1040.78,0.0
2023-01-09 15:55:00,GBPUSD,0.96,1041.74,0.0
2023-01-09 16:10:00,USDMXN,4.75,1046.49,0.0
2023-01-09 19:35:00,AUDCAD,-1.33,1045.16,-0.13
2023-01-09 19:35:00,XAUUSD,-3.57,1041.59,-0.47
2023-01-09 19:45:00,XAUUSD,7.67,1049.26,0.0
2023-01-10 15:10:00,GBPCAD,-2.64,1046.62,-0.25
2023-01-10 15:25:00,XAUUSD,6.14,1052.76,0.0
2023-01-10 16:05:00,GBPUSD,-2.62,1050.14,-0.25
2023-01-10 16:05:00,USDMXN,6.3,1056.44,0.0
2023-01-11 15:05:00,USDMXN,-3.97,1052.47,-0.38
2023-01-11 15:10:00,GBPCAD,4.7,1057.17,0.0
2023-01-11 16:25:00,GBPUSD,6.3,1063.47,0.0
2023-01-11 17:55:00,GBPCAD,-5.0,1058.47,-0.47
2023-01-12 15:05:00,AUDCAD,-1.93,1056.54,-0.65
2023-01-12 15:20:00,GBPUSD,-6.12,1050.42,-1.23
2023-01-12 15:35:00,AUDCAD,1.87,1052.29,-1.05
2023-01-12 15:35:00,GBPUSD,2.58,1054.87,-0.81
2023-01-12 15:45:00,EURCAD,8.78,1063.65,0.0
2023-01-12 16:45:00,GBPCAD,-6.16,1057.49,-0.58
2023-01-12 17:20:00,XAUUSD,23.92,1081.41,0.0
2023-01-12 22:50:00,USDMXN,-3.0,1078.41,-0.28
2023-01-13 14:20:00,XAUUSD,-4.34,1074.07,-0.68
2023-01-13 14:35:00,XAUUSD,-5.86,1068.21,-1.22
2023-01-13 15:05:00,GBPCAD,8.06,1076.27,-0.48
2023-01-13 15:30:00,XAUUSD,18.08,1094.35,0.0
2023-01-13 15:50:00,EURCAD,4.72,1099.07,0.0
2023-01-13 16:10:00,AUDCAD,3.95,1103.02,0.0
2023-01-13 16:15:00,GBPUSD,10.4,1113.42,0.0
2023-01-13 16:25:00,USDMXN,4.37,1117.79,0.0
2023-01-13 17:05:00,GBPCAD,-1.6,1116.19,-0.14
2023-01-13 17:05:00,EURCAD,-4.36,1111.83,-0.53
2023-01-16 16:10:00,XAUUSD,-2.1,1109.73,-0.72
2023-01-16 17:10:00,EURCAD,-1.77,1107.96,-0.88
2023-01-17 16:10:00,GBPUSD,3.86,1111.82,-0.53
2023-01-17 16:20:00,GBPCAD,-6.32,1105.5,-1.1
2023-01-17 17:05:00,EURCAD,6.98,1112.48,-0.48
2023-01-17 19:50:00,GBPCAD,3.57,1116.05,-0.16
2023-01-18 15:00:00,USDMXN,-2.13,1113.92,-0.35
2023-01-18 15:05:00,GBPCAD,10.15,1124.07,0.0
2023-01-18 15:05:00,EURCAD,8.46,1132.53,0.0
2023-01-18 15:25:00,USDMXN,4.29,1136.82,0.0
2023-01-18 15:50:00,USDMXN,-6.56,1130.26,-0.58
2023-01-18 16:05:00,GBPUSD,-6.31,1123.95,-1.13
2023-01-18 16:40:00,EURCAD,-2.12,1121.83,-1.32
2023-01-18 18:30:00,AUDCAD,-1.8,1120.03,-1.48
2023-01-18 18:30:00,EURCAD,4.54,1124.57,-1.08
2023-01-18 19:20:00,AUDCAD,-1.21,1123.36,-1.18
2023-01-18 19:40:00,AUDCAD,1.15,1124.51,-1.08
2023-01-19 15:25:00,EURCAD,-2.44,1122.07,-1.3
2023-01-19 15:40:00,GBPUSD,7.56,1129.63,-0.63
2023-01-19 17:00:00,GBPCAD,5.0,1134.63,-0.19
2023-01-19 17:00:00,EURCAD,-3.31,1131.32,-0.48
2023-01-19 18:15:00,EURCAD,2.38,1133.7,-0.27
2023-01-19 18:40:00,EURCAD,2.15,1135.85,-0.09
2023-01-20 16:15:00,XAUUSD,-3.9,1131.95,-0.43
2023-01-20 16:15:00,AUDCAD,-2.22,1129.73,-0.62
2023-01-20 16:40:00,GBPUSD,8.26,1137.99,0.0
2023-01-20 16:45:00,XAUUSD,10.32,1148.31,0.0
2023-01-23 15:10:00,AUDCAD,-2.02,1146.29,-0.18
2023-01-23 16:15:00,AUDCAD,2.26,1148.55,0.0
2023-01-23 16:45:00,USDMXN,4.11,1152.66,0.0
2023-01-24 15:10:00,AUDCAD,2.87,1155.53,0.0
2023-01-24 15:20:00,EURCAD,2.7,1158.23,0.0
2023-01-24 16:00:00,AUDCAD,0.45,1158.68,0.0
2023-01-24 17:15:00,XAUUSD,16.28,1174.96,0.0
2023-01-24 17:20:00,USDMXN,5.52,1180.48,0.0
2023-01-25 16:05:00,XAUUSD,18.82,1199.3,0.0
2023-01-25 16:10:00,EURCAD,4.85,1204.15,0.0
2023-01-25 16:15:00,AUDCAD,2.58,1206.73,0.0
2023-01-25 16:40:00,GBPUSD,8.17,1214.9,0.0
