month,trades,net_USD,return_%
2023-01,125,214.58,21.46
2023-02,110,234.68,23.47
2023-03,122,90.48,9.05
2023-04,106,161.18,16.12
2023-05,96,120.74,12.07
2023-06,111,109.26,10.93
2023-07,108,216.35,21.64
2023-08,118,130.82,13.08
2023-09,126,94.17,9.42
2023-10,93,142.76,14.28
2023-11,113,86.24,8.62
2023-12,98,97.77,9.78
2024-01,111,82.6,8.26
2024-02,118,1.74,0.17
2024-03,100,93.68,9.37
2024-04,113,45.81,4.58
2024-05,129,21.03,2.1
2024-06,95,81.22,8.12
2024-07,127,121.16,12.12
2024-08,107,78.43,7.84
2024-09,146,91.64,9.16
2024-10,116,93.64,9.36
2024-11,114,36.8,3.68
2024-12,109,153.88,15.39
2025-01,133,60.22,6.02
2025-02,115,109.49,10.95
2025-03,111,326.58,32.66
2025-04,120,79.53,7.95
2025-05,105,-33.91,-3.39
2025-06,124,207.14,20.71
2025-07,125,124.54,12.45
2025-08,101,93.78,9.38
2025-09,138,121.42,12.14
2025-10,117,173.51,17.35
2025-11,92,-12.67,-1.27
2025-12,135,189.03,18.9
2026-01,126,-8.46,-0.85
2026-02,51,-29.6,-2.96
