entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$,symbol,equity_$,drawdown_%
2026-02-17 14:50:00,2026-02-17 15:15:00,S,4935.03,4915.57857,4944.75572,4915.57857,2.0,tp,38.9,0.34,38.56,38.56,XAUUSD,1038.56,0.0
2026-02-17 15:10:00,2026-02-17 16:35:00,L,1.61485,1.61647,1.61404,1.61647,2.0,tp,2.35,0.41,1.94,40.5,EURCAD,1040.5,0.0
2026-02-17 15:35:00,2026-02-17 20:35:00,S,1.35373,1.35595,1.35595,1.34929,-1.0,sl,-4.44,0.32,-4.76,35.74,GBPUSD,1035.74,-0.46
2026-02-17 16:15:00,2026-02-18 00:15:00,L,0.56449,0.56435,0.56362,0.56623,-0.161,time,-0.36,0.46,-0.82,34.92,CADCHF,1034.92,-0.54
2026-02-17 16:40:00,2026-02-17 18:15:00,L,1.6162,1.61494,1.61494,1.61872,-1.0,sl,-1.82,0.41,-2.23,32.69,EURCAD,1032.69,-0.75
2026-02-17 17:50:00,2026-02-17 19:25:00,S,1.84762,1.84953,1.84953,1.84379,-1.0,sl,-2.77,0.43,-3.2,29.49,GBPCAD,1029.49,-1.06
2026-02-17 19:05:00,2026-02-18 03:05:00,L,1.61579,1.61603,1.61459,1.61818,0.201,time,0.35,0.41,-0.06,29.43,EURCAD,1029.43,-1.06
2026-02-17 21:30:00,2026-02-18 05:00:00,S,4883.93,4911.35003,4911.35003,4829.08995,-1.0,sl,-54.84,0.34,-55.18,-25.75,XAUUSD,974.25,-6.37
2026-02-18 15:10:00,2026-02-18 15:25:00,S,1.18441,1.18353,1.18485,1.18353,2.0,tp,1.77,0.26,1.51,-24.24,EURUSD,975.76,-6.22
2026-02-18 15:15:00,2026-02-18 15:25:00,S,1.35763,1.35661,1.35814,1.35661,2.0,tp,2.05,0.32,1.73,-22.51,GBPUSD,977.49,-6.06
2026-02-18 15:30:00,2026-02-18 18:55:00,S,1.18355,1.18094,1.18486,1.18094,2.0,tp,5.22,0.26,4.96,-17.55,EURUSD,982.45,-5.58
2026-02-18 15:35:00,2026-02-18 19:15:00,S,1.35639,1.35288,1.35815,1.35288,2.0,tp,7.03,0.32,6.71,-10.84,GBPUSD,989.16,-4.93
2026-02-18 16:05:00,2026-02-18 16:50:00,S,1.61602,1.61491,1.61657,1.61491,2.0,tp,1.6,0.41,1.19,-9.65,EURCAD,990.35,-4.82
2026-02-18 16:10:00,2026-02-18 19:50:00,S,1.85172,1.8492,1.85298,1.8492,2.0,tp,3.64,0.43,3.21,-6.44,GBPCAD,993.56,-4.51
2026-02-18 16:55:00,2026-02-19 00:55:00,S,1.6149,1.61348,1.61636,1.61197,0.971,time,2.05,0.41,1.64,-4.8,EURCAD,995.2,-4.35
2026-02-18 16:55:00,2026-02-18 20:40:00,L,0.5645,0.56416,0.56416,0.56518,-1.0,sl,-0.87,0.46,-1.33,-6.13,CADCHF,993.87,-4.48
2026-02-18 19:35:00,2026-02-19 03:35:00,S,1.35272,1.34926,1.35501,1.34813,1.508,time,6.92,0.32,6.6,0.47,GBPUSD,1000.47,-3.85
2026-02-19 14:05:00,2026-02-19 15:00:00,L,4985.74,4977.44365,4977.44365,5002.33271,-1.0,sl,-16.59,0.34,-16.93,-16.46,XAUUSD,983.54,-5.47
2026-02-19 15:05:00,2026-02-19 23:05:00,S,1.61131,1.6112,1.61252,1.60888,0.091,time,0.16,0.41,-0.25,-16.71,EURCAD,983.29,-5.5
2026-02-19 15:10:00,2026-02-19 17:05:00,L,0.56615,0.56551,0.56551,0.56743,-1.0,sl,-1.63,0.46,-2.09,-18.8,CADCHF,981.2,-5.7
2026-02-19 16:15:00,2026-02-19 17:05:00,S,1.84222,1.84395,1.84395,1.83876,-1.0,sl,-2.5,0.43,-2.93,-21.73,GBPCAD,978.27,-5.98
2026-02-19 16:20:00,2026-02-19 17:05:00,S,1.34394,1.34697,1.34697,1.33787,-1.0,sl,-6.07,0.32,-6.39,-28.12,GBPUSD,971.88,-6.59
2026-02-19 16:40:00,2026-02-20 01:40:00,L,4983.84,4998.0,4962.87756,5025.76487,0.675,time,28.32,0.34,27.98,-0.14,XAUUSD,999.86,-3.91
2026-02-19 17:45:00,2026-02-20 01:45:00,S,1.8422,1.84223,1.8449,1.8368,-0.011,time,-0.04,0.43,-0.47,-0.61,GBPCAD,999.39,-3.95
2026-02-19 18:10:00,2026-02-20 02:10:00,S,1.34462,1.3459,1.34745,1.33897,-0.453,time,-2.56,0.32,-2.88,-3.49,GBPUSD,996.51,-4.23
2026-02-19 18:25:00,2026-02-20 02:25:00,L,0.56636,0.56647,0.5656,0.56789,0.144,time,0.28,0.46,-0.18,-3.67,CADCHF,996.33,-4.25
2026-02-20 14:45:00,2026-02-20 17:00:00,L,5025.21,5062.45507,5006.58746,5062.45507,2.0,tp,74.49,0.34,74.15,70.48,XAUUSD,1070.48,0.0
2026-02-20 15:35:00,2026-02-20 17:00:00,S,1.17605,1.17841,1.17841,1.17132,-1.0,sl,-4.73,0.26,-4.99,65.49,EURUSD,1065.49,-0.47
2026-02-20 16:00:00,2026-02-20 17:10:00,L,0.56699,0.56616,0.56616,0.56864,-1.0,sl,-2.11,0.46,-2.57,62.92,CADCHF,1062.92,-0.71
2026-02-20 18:25:00,2026-02-23 01:10:00,S,1.17804,1.18039,1.18039,1.17335,-1.0,sl,-4.69,0.26,-4.95,57.97,EURUSD,1057.97,-1.17
2026-02-23 17:15:00,2026-02-23 18:55:00,L,17.17986,17.23532,17.15213,17.23532,2.0,tp,6.41,1.2,5.21,63.18,USDMXN,1063.18,-0.68
2026-02-23 17:35:00,2026-02-24 01:35:00,S,1.35095,1.34962,1.35253,1.3478,0.843,time,2.66,0.32,2.34,65.52,GBPUSD,1065.52,-0.46
2026-02-23 17:35:00,2026-02-24 01:35:00,S,1.17992,1.1792,1.18101,1.17774,0.662,time,1.44,0.26,1.18,66.7,EURUSD,1066.7,-0.35
2026-02-24 19:20:00,2026-02-24 22:05:00,S,1.17854,1.17759,1.17901,1.17759,2.0,tp,1.9,0.26,1.64,68.34,EURUSD,1068.34,-0.2
2026-02-25 15:05:00,2026-02-25 16:35:00,S,1.61349,1.61404,1.61404,1.6124,-1.0,sl,-0.79,0.41,-1.2,67.14,EURCAD,1067.14,-0.31
2026-02-25 15:30:00,2026-02-25 17:05:00,S,1.17831,1.17902,1.17902,1.17688,-1.0,sl,-1.43,0.26,-1.69,65.45,EURUSD,1065.45,-0.47
2026-02-25 16:40:00,2026-02-25 17:30:00,S,17.17889,17.20706,17.20706,17.12255,-1.0,sl,-3.25,1.2,-4.45,61.0,USDMXN,1061.0,-0.89
2026-02-25 16:50:00,2026-02-25 22:55:00,L,5181.7,5158.20872,5158.20872,5228.68255,-1.0,sl,-46.98,0.34,-47.32,13.68,XAUUSD,1013.68,-5.31
2026-02-25 17:30:00,2026-02-25 19:15:00,L,0.56515,0.56428,0.56428,0.56689,-1.0,sl,-2.21,0.46,-2.67,11.01,CADCHF,1011.01,-5.56
2026-02-25 17:40:00,2026-02-25 18:00:00,S,17.19698,17.14667,17.22213,17.14667,2.0,tp,5.81,1.2,4.61,15.62,USDMXN,1015.62,-5.12
2026-02-26 14:25:00,2026-02-26 16:30:00,L,5176.28,5157.66669,5157.66669,5213.50661,-1.0,sl,-37.23,0.34,-37.57,-21.95,XAUUSD,978.05,-8.63
2026-02-26 17:15:00,2026-02-26 17:25:00,S,1.85357,1.85107,1.85482,1.85107,2.0,tp,3.62,0.43,3.19,-18.76,GBPCAD,981.24,-8.34
2026-02-26 17:15:00,2026-02-26 17:25:00,S,1.35393,1.35092,1.35544,1.35092,2.0,tp,6.02,0.32,5.7,-13.06,GBPUSD,986.94,-7.8
2026-02-26 17:30:00,2026-02-27 01:30:00,S,1.6151,1.61409,1.61718,1.61093,0.484,time,1.46,0.41,1.05,-12.01,EURCAD,987.99,-7.71
2026-02-26 17:40:00,2026-02-27 02:40:00,L,5168.88,5175.16,5129.85126,5246.93749,0.161,time,12.56,0.34,12.22,0.21,XAUUSD,1000.21,-6.56
2026-02-26 17:45:00,2026-02-26 18:45:00,S,1.85225,1.8472,1.85478,1.8472,2.0,tp,7.31,0.43,6.88,7.09,GBPCAD,1007.09,-5.92
2026-02-26 17:45:00,2026-02-27 01:45:00,L,0.56522,0.56538,0.56461,0.56644,0.262,time,0.41,0.46,-0.05,7.04,CADCHF,1007.04,-5.93
2026-02-26 18:05:00,2026-02-27 02:05:00,S,1.3508,1.3488,1.35482,1.34277,0.498,time,4.0,0.32,3.68,10.72,GBPUSD,1010.72,-5.58
2026-02-26 21:55:00,2026-02-26 21:55:00,L,17.201,17.19565,17.19565,17.21171,-1.0,sl,-0.62,1.2,-1.82,8.9,USDMXN,1008.9,-5.75
2026-02-27 15:05:00,2026-02-27 21:25:00,S,1.34656,1.34794,1.34794,1.3438,-1.0,sl,-2.76,0.32,-3.08,5.82,GBPUSD,1005.82,-6.04
2026-02-27 15:05:00,2026-02-27 15:25:00,S,1.84119,1.83844,1.84257,1.83844,2.0,tp,3.98,0.43,3.55,9.37,GBPCAD,1009.37,-5.71
2026-02-27 15:25:00,2026-02-27 17:10:00,S,1.61285,1.61046,1.61405,1.61046,2.0,tp,3.46,0.41,3.05,12.42,EURCAD,1012.42,-5.42
2026-02-27 15:30:00,2026-02-27 23:30:00,S,0.56356,0.56327,0.56477,0.56113,0.239,time,0.74,0.46,0.28,12.7,CADCHF,1012.7,-5.4
2026-02-27 15:40:00,2026-02-27 17:55:00,S,1.83936,1.83379,1.84215,1.83379,2.0,tp,8.06,0.43,7.63,20.33,GBPCAD,1020.33,-4.68
2026-02-27 17:25:00,2026-03-02 01:30:00,S,1.61034,1.60774,1.61321,1.60461,0.907,time,3.76,0.41,3.35,23.68,EURCAD,1023.68,-4.37
2026-03-02 14:05:00,2026-03-02 14:45:00,L,17.2765,17.32967,17.24992,17.32967,2.0,tp,6.14,1.2,4.94,28.62,USDMXN,1028.62,-3.91
2026-03-02 15:05:00,2026-03-02 16:05:00,S,1.82974,1.83241,1.83241,1.82441,-1.0,sl,-3.86,0.43,-4.29,24.33,GBPCAD,1024.33,-4.31
2026-03-02 15:25:00,2026-03-02 16:30:00,S,1.60026,1.60145,1.60145,1.59787,-1.0,sl,-1.73,0.41,-2.14,22.19,EURCAD,1022.19,-4.51
2026-03-02 15:25:00,2026-03-02 16:45:00,S,1.33987,1.34161,1.34161,1.33639,-1.0,sl,-3.48,0.32,-3.8,18.39,GBPUSD,1018.39,-4.87
2026-03-02 17:25:00,2026-03-02 21:35:00,S,1.33959,1.34261,1.34261,1.33356,-1.0,sl,-6.03,0.32,-6.35,12.04,GBPUSD,1012.04,-5.46
2026-03-02 17:25:00,2026-03-02 18:55:00,S,1.83251,1.83538,1.83538,1.82678,-1.0,sl,-4.15,0.43,-4.58,7.46,GBPCAD,1007.46,-5.89
2026-03-02 17:25:00,2026-03-02 19:00:00,S,1.60099,1.6026,1.6026,1.59778,-1.0,sl,-2.32,0.41,-2.73,4.73,EURCAD,1004.73,-6.14
2026-03-02 17:30:00,2026-03-02 18:55:00,L,0.56954,0.56877,0.56877,0.57108,-1.0,sl,-1.97,0.46,-2.43,2.3,CADCHF,1002.3,-6.37
