entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$,symbol,equity_$,drawdown_%
2023-01-03 14:10:00,2023-01-03 14:50:00,S,19.497,19.43608,19.52746,19.43608,2.0,tp,7.04,1.2,5.84,5.84,USDMXN,1005.84,0.0
2023-01-03 16:35:00,2023-01-03 17:00:00,S,1.44341,1.43907,1.44558,1.43907,2.0,tp,6.28,0.41,5.87,11.71,EURCAD,1011.71,0.0
2023-01-03 17:00:00,2023-01-04 01:00:00,S,0.91884,0.91938,0.92162,0.91328,-0.194,time,-0.78,0.29,-1.07,10.64,AUDCAD,1010.64,-0.11
2023-01-03 17:25:00,2023-01-04 01:25:00,S,1.4406,1.44231,1.44558,1.43064,-0.344,time,-2.47,0.41,-2.88,7.76,EURCAD,1007.76,-0.39
2023-01-03 18:05:00,2023-01-04 02:05:00,S,1.20089,1.19856,1.2038,1.19507,0.801,time,4.66,0.32,4.34,12.1,GBPUSD,1012.1,0.0
2023-01-03 20:00:00,2023-01-04 04:00:00,L,1.63503,1.63646,1.63292,1.63926,0.677,time,2.07,0.43,1.64,13.74,GBPCAD,1013.74,0.0
2023-01-04 15:10:00,2023-01-04 18:10:00,S,1.63127,1.62607,1.63387,1.62607,2.0,tp,7.53,0.43,7.1,20.84,GBPCAD,1020.84,0.0
2023-01-04 15:25:00,2023-01-04 17:00:00,L,1857.13,1852.56931,1852.56931,1866.25139,-1.0,sl,-9.12,0.34,-9.46,11.38,XAUUSD,1011.38,-0.93
2023-01-04 15:30:00,2023-01-04 17:05:00,L,1.20538,1.20279,1.20279,1.21057,-1.0,sl,-5.19,0.32,-5.51,5.87,GBPUSD,1005.87,-1.47
2023-01-04 15:50:00,2023-01-04 23:10:00,S,1.43495,1.42903,1.43791,1.42903,2.0,tp,8.57,0.41,8.16,14.03,EURCAD,1014.03,-0.67
2023-01-04 17:15:00,2023-01-04 17:25:00,S,19.3674,19.38487,19.38487,19.33247,-1.0,sl,-2.02,1.2,-3.22,10.81,USDMXN,1010.81,-0.98
2023-01-04 17:30:00,2023-01-04 21:00:00,L,1856.35,1848.52901,1848.52901,1871.99197,-1.0,sl,-15.64,0.34,-15.98,-5.17,XAUUSD,994.83,-2.55
2023-01-04 17:45:00,2023-01-05 01:45:00,L,1.20512,1.20565,1.20118,1.21301,0.134,time,1.06,0.32,0.74,-4.43,GBPUSD,995.57,-2.48
2023-01-04 18:10:00,2023-01-04 20:30:00,S,19.34,19.38957,19.38957,19.24086,-1.0,sl,-5.73,1.2,-6.93,-11.36,USDMXN,988.64,-3.15
2023-01-04 18:40:00,2023-01-05 02:40:00,S,1.62766,1.62708,1.63082,1.62133,0.183,time,0.84,0.43,0.41,-10.95,GBPCAD,989.05,-3.11
2023-01-04 21:35:00,2023-01-05 06:35:00,L,1851.01,1851.24,1846.80257,1859.42485,0.055,time,0.46,0.34,0.12,-10.83,XAUUSD,989.17,-3.1
2023-01-05 15:05:00,2023-01-05 15:25:00,S,0.92219,0.92008,0.92324,0.92008,2.0,tp,3.05,0.29,2.76,-8.07,AUDCAD,991.93,-2.83
