symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
EURUSD,2023Q1,65,27,41.54,0.157,1.29,False
EURUSD,2023Q2,43,20,46.51,0.204,1.42,False
EURUSD,2023Q3,54,27,50.0,0.292,1.68,True
EURUSD,2023Q4,45,23,51.11,0.397,1.84,True
EURUSD,2024Q1,44,17,38.64,0.07,1.12,False
EURUSD,2024Q2,67,23,34.33,-0.066,0.89,False
EURUSD,2024Q3,65,31,47.69,0.348,1.7,False
EURUSD,2024Q4,57,31,54.39,0.438,1.99,True
EURUSD,2025Q1,53,24,45.28,0.166,1.31,False
EURUSD,2025Q2,60,27,45.0,0.204,1.37,False
EURUSD,2025Q3,54,29,53.7,0.55,2.41,True
EURUSD,2025Q4,49,25,51.02,0.415,1.86,True
EURUSD,2026Q1,23,13,56.52,0.612,2.46,False
GBPUSD,2023Q1,50,30,60.0,0.595,2.64,True
GBPUSD,2023Q2,32,15,46.88,0.128,1.25,False
GBPUSD,2023Q3,66,33,50.0,0.324,1.65,True
GBPUSD,2023Q4,61,21,34.43,-0.023,0.96,False
GBPUSD,2024Q1,43,19,44.19,0.125,1.22,False
GBPUSD,2024Q2,55,23,41.82,0.168,1.31,False
GBPUSD,2024Q3,77,36,46.75,0.299,1.6,False
GBPUSD,2024Q4,59,26,44.07,0.26,1.5,False
GBPUSD,2025Q1,51,22,43.14,0.218,1.42,False
GBPUSD,2025Q2,68,29,42.65,0.243,1.43,False
GBPUSD,2025Q3,55,23,41.82,0.211,1.39,False
GBPUSD,2025Q4,74,26,35.14,0.008,1.01,False
GBPUSD,2026Q1,18,10,55.56,0.588,2.32,False
AUDUSD,2023Q1,55,28,50.91,0.367,1.83,True
AUDUSD,2023Q2,56,21,37.5,0.079,1.14,False
AUDUSD,2023Q3,46,18,39.13,0.089,1.16,False
AUDUSD,2023Q4,54,24,44.44,0.191,1.36,False
AUDUSD,2024Q1,51,20,39.22,0.135,1.22,False
AUDUSD,2024Q2,62,28,45.16,0.245,1.49,False
AUDUSD,2024Q3,73,35,47.95,0.364,1.72,False
AUDUSD,2024Q4,64,30,46.88,0.41,1.82,False
AUDUSD,2025Q1,53,19,35.85,0.026,1.04,False
AUDUSD,2025Q2,67,17,25.37,-0.318,0.57,False
AUDUSD,2025Q3,69,26,37.68,0.072,1.12,False
AUDUSD,2025Q4,54,25,46.3,0.357,1.72,False
AUDUSD,2026Q1,24,11,45.83,0.298,1.63,False
NZDUSD,2023Q1,46,19,41.3,0.141,1.28,False
NZDUSD,2023Q2,55,24,43.64,0.134,1.24,False
NZDUSD,2023Q3,53,26,49.06,0.361,1.74,True
NZDUSD,2023Q4,68,29,42.65,0.193,1.34,False
NZDUSD,2024Q1,58,20,34.48,-0.028,0.96,False
NZDUSD,2024Q2,52,27,51.92,0.438,1.94,True
NZDUSD,2024Q3,52,21,40.38,-0.019,0.97,False
NZDUSD,2024Q4,61,29,47.54,0.37,1.72,False
NZDUSD,2025Q1,51,22,43.14,0.181,1.32,False
NZDUSD,2025Q2,78,27,34.62,-0.029,0.96,False
NZDUSD,2025Q3,50,17,34.0,0.016,1.03,False
NZDUSD,2025Q4,54,22,40.74,0.239,1.44,False
NZDUSD,2026Q1,22,11,50.0,0.369,1.86,False
USDCAD,2023Q1,48,22,45.83,0.133,1.27,False
USDCAD,2023Q2,59,23,38.98,-0.056,0.9,False
USDCAD,2023Q3,66,30,45.45,0.204,1.39,False
USDCAD,2023Q4,61,32,52.46,0.443,2.0,True
USDCAD,2024Q1,65,31,47.69,0.303,1.59,False
USDCAD,2024Q2,67,36,53.73,0.491,2.17,True
USDCAD,2024Q3,66,30,45.45,0.314,1.64,False
USDCAD,2024Q4,63,34,53.97,0.536,2.31,True
USDCAD,2025Q1,45,19,42.22,0.1,1.19,False
USDCAD,2025Q2,51,25,49.02,0.47,1.97,True
USDCAD,2025Q3,52,28,53.85,0.302,1.69,True
USDCAD,2025Q4,44,17,38.64,-0.025,0.96,False
USDCAD,2026Q1,30,14,46.67,0.323,1.61,False
USDCHF,2023Q1,50,18,36.0,-0.067,0.89,False
USDCHF,2023Q2,48,18,37.5,0.073,1.13,False
USDCHF,2023Q3,58,26,44.83,0.153,1.32,False
USDCHF,2023Q4,55,27,49.09,0.424,1.95,True
USDCHF,2024Q1,57,17,29.82,-0.142,0.79,False
USDCHF,2024Q2,51,27,52.94,0.263,1.58,True
USDCHF,2024Q3,46,15,32.61,-0.136,0.79,False
USDCHF,2024Q4,42,19,45.24,0.165,1.31,False
USDCHF,2025Q1,50,22,44.0,0.253,1.48,False
USDCHF,2025Q2,54,25,46.3,0.353,1.68,False
USDCHF,2025Q3,58,25,43.1,0.163,1.3,False
USDCHF,2025Q4,54,20,37.04,0.119,1.2,False
USDCHF,2026Q1,21,13,61.9,0.788,3.07,False
USDJPY,2023Q1,54,20,37.04,-0.088,0.86,False
USDJPY,2023Q2,50,29,58.0,0.551,2.4,True
USDJPY,2023Q3,36,19,52.78,0.279,1.59,True
USDJPY,2023Q4,50,21,42.0,0.153,1.28,False
USDJPY,2024Q1,46,16,34.78,0.002,1.0,False
USDJPY,2024Q2,83,35,42.17,0.053,1.1,False
USDJPY,2024Q3,56,16,28.57,-0.153,0.77,False
USDJPY,2024Q4,62,34,54.84,0.518,2.28,True
USDJPY,2025Q1,64,24,37.5,0.038,1.06,False
USDJPY,2025Q2,71,27,38.03,0.067,1.11,False
USDJPY,2025Q3,48,17,35.42,0.013,1.02,False
USDJPY,2025Q4,51,22,43.14,0.04,1.07,False
USDJPY,2026Q1,36,22,61.11,0.745,3.06,True
EURJPY,2023Q1,69,23,33.33,-0.099,0.85,False
EURJPY,2023Q2,63,31,49.21,0.302,1.64,True
EURJPY,2023Q3,45,21,46.67,0.187,1.36,False
EURJPY,2023Q4,40,18,45.0,0.228,1.42,False
EURJPY,2024Q1,46,20,43.48,0.28,1.54,False
EURJPY,2024Q2,52,21,40.38,0.138,1.24,False
EURJPY,2024Q3,51,21,41.18,0.143,1.26,False
EURJPY,2024Q4,53,21,39.62,0.097,1.17,False
EURJPY,2025Q1,58,20,34.48,-0.008,0.99,False
EURJPY,2025Q2,49,19,38.78,0.121,1.21,False
EURJPY,2025Q3,46,19,41.3,0.194,1.36,False
EURJPY,2025Q4,49,26,53.06,0.465,2.01,True
EURJPY,2026Q1,19,8,42.11,0.287,1.6,False
GBPJPY,2023Q1,56,20,35.71,-0.022,0.96,False
GBPJPY,2023Q2,56,31,55.36,0.48,2.14,True
GBPJPY,2023Q3,34,17,50.0,0.306,1.69,True
GBPJPY,2023Q4,57,23,40.35,0.131,1.23,False
GBPJPY,2024Q1,41,19,46.34,0.13,1.27,False
GBPJPY,2024Q2,63,29,46.03,0.255,1.5,False
GBPJPY,2024Q3,57,24,42.11,0.113,1.2,False
GBPJPY,2024Q4,49,23,46.94,0.321,1.62,False
GBPJPY,2025Q1,60,27,45.0,0.217,1.39,False
GBPJPY,2025Q2,54,22,40.74,0.188,1.34,False
GBPJPY,2025Q3,42,20,47.62,0.209,1.4,False
GBPJPY,2025Q4,52,27,51.92,0.398,1.86,True
GBPJPY,2026Q1,23,11,47.83,0.288,1.55,False
AUDJPY,2023Q1,47,14,29.79,-0.219,0.69,False
AUDJPY,2023Q2,56,30,53.57,0.537,2.4,True
AUDJPY,2023Q3,48,21,43.75,0.159,1.28,False
AUDJPY,2023Q4,58,31,53.45,0.545,2.24,True
AUDJPY,2024Q1,56,20,35.71,-0.071,0.89,False
AUDJPY,2024Q2,53,26,49.06,0.315,1.66,True
AUDJPY,2024Q3,55,26,47.27,0.303,1.59,False
AUDJPY,2024Q4,40,16,40.0,0.093,1.16,False
AUDJPY,2025Q1,57,24,42.11,0.191,1.34,False
AUDJPY,2025Q2,51,19,37.25,-0.014,0.98,False
AUDJPY,2025Q3,70,30,42.86,0.142,1.25,False
