symbol,trades,wr_net_%,gross_$,fee_$,net_$,return_%,max_DD_%
AUDCAD,431,48.72,197.86,124.99,72.87,7.29,-2.61
AUDCHF,412,46.36,170.34,230.72,-60.38,-6.04,-7.97
AUDJPY,401,45.64,107.13,136.34,-29.21,-2.92,-4.43
AUDNZD,477,37.95,60.23,219.42,-159.19,-15.92,-15.96
AUDUSD,477,44.65,258.78,143.1,115.68,11.57,-5.11
CADCHF,705,49.65,453.85,324.3,129.55,12.95,-7.15
CADJPY,475,46.32,163.96,118.75,45.21,4.52,-3.98
CHFJPY,340,46.18,196.62,163.2,33.42,3.34,-7.56
EURAUD,460,45.43,251.92,266.8,-14.88,-1.49,-7.87
EURCAD,957,49.32,705.87,392.37,313.5,31.35,-7.91
EURCHF,1283,47.54,696.72,526.03,170.69,17.07,-6.13
EURGBP,657,43.07,195.62,367.92,-172.3,-17.23,-19.84
EURJPY,864,49.77,686.49,311.04,375.45,37.54,-4.06
EURSEK,416,47.12,308.09,303.68,4.41,0.44,-10.03
EURTRY,394,40.86,-1.51,15.76,-17.27,-1.73,-1.98
EURUSD,486,50.41,342.61,126.36,216.25,21.62,-2.31
GBPAUD,443,46.95,299.0,283.52,15.48,1.55,-7.17
GBPCAD,969,50.57,929.95,416.67,513.28,51.33,-4.59
GBPCHF,621,45.25,424.42,366.39,58.03,5.8,-9.47
GBPJPY,515,46.21,410.17,257.5,152.67,15.27,-6.65
GBPNZD,576,42.19,237.66,512.64,-274.98,-27.5,-30.69
GBPUSD,870,49.89,935.58,278.4,657.18,65.72,-2.95
NZDJPY,360,41.39,83.86,223.2,-139.34,-13.93,-14.23
NZDUSD,1318,47.12,687.61,579.92,107.69,10.77,-8.58
USDCAD,528,46.21,215.17,137.28,77.89,7.79,-4.28
USDCHF,648,47.99,564.31,298.08,266.23,26.62,-7.98
USDJPY,595,44.87,339.0,148.75,190.25,19.02,-4.49
USDMXN,545,55.23,1169.25,654.0,515.25,51.52,-4.68
USDTRY,260,21.15,-7.45,7.8,-15.25,-1.52,-1.79
XAUUSD,532,52.44,2110.06,180.88,1929.18,192.92,-11.92
