symbol,trades,wins,win_rate,avg_R,expectancy_R,profit_factor
AUDCAD,431,215,49.88399071925754,0.3641719062490351,0.4965197215777263,1.7906934651700013
AUDCHF,412,199,48.30097087378641,0.3216046597199815,0.4490291262135922,1.6660651781296665
AUDJPY,401,185,46.13466334164589,0.2398120891666746,0.3840399002493766,1.4693879570136965
AUDNZD,477,213,44.65408805031446,0.2394590981544817,0.339622641509434,1.4434065382342691
AUDUSD,477,217,45.49266247379455,0.2618995988213446,0.3647798742138365,1.5137886431925345
CADCHF,705,370,52.4822695035461,0.3087879282589494,0.5744680851063829,1.7689283213642746
CADJPY,475,230,48.42105263157895,0.3011868344076288,0.4526315789473684,1.6267580802234958
CHFJPY,340,161,47.35294117647059,0.2806692835147363,0.4205882352941176,1.5662021207767958
EURAUD,460,217,47.17391304347826,0.2667130455182416,0.4152173913043478,1.5298636529991674
EURCAD,957,496,51.828631138975965,0.3072057710274996,0.554858934169279,1.720156860470687
EURCHF,1283,628,48.94777864380359,0.3172342923084997,0.4684333593141075,1.6676447394186755
EURGBP,657,307,46.727549467275495,0.2802963355659663,0.4018264840182647,1.5620887126265266
EURJPY,864,441,51.04166666666666,0.2919470459209718,0.5312499999999999,1.685070290315226
EURSEK,416,205,49.27884615384615,0.3495955993532055,0.4783653846153847,1.7483772430317124
EURTRY,0,0,0.0,0.0,0.0,0.0
EURUSD,486,246,50.617283950617285,0.3182775639698468,0.5185185185185186,1.6848064391980966
GBPAUD,443,215,48.53273137697517,0.3253162386079388,0.455981941309255,1.677847185480703
GBPCAD,969,508,52.42518059855521,0.331999187147172,0.5727554179566563,1.7903883741905968
GBPCHF,621,288,46.3768115942029,0.2764956419452566,0.391304347826087,1.5426984105813308
GBPJPY,515,248,48.15533980582524,0.256415406726292,0.4446601941747573,1.528141607517207
GBPNZD,576,250,43.40277777777778,0.213020430906464,0.3020833333333333,1.3962969960519638
GBPUSD,870,446,51.26436781609195,0.3024518875571746,0.5379310344827585,1.7131078009096594
NZDJPY,360,154,42.77777777777778,0.1837754438508189,0.2833333333333333,1.3316484223392115
NZDUSD,1318,637,48.33080424886192,0.3022584257192521,0.4499241274658574,1.6237508640745215
USDCAD,528,251,47.53787878787879,0.2806648864269684,0.4261363636363636,1.5775257162645178
USDCHF,648,333,51.388888888888886,0.2852678045110796,0.5416666666666665,1.7129316454465264
USDJPY,595,272,45.71428571428572,0.2356473098014963,0.3714285714285713,1.473496816541311
USDMXN,545,320,58.71559633027523,0.6024830600471277,0.761467889908257,2.594933609402456
USDTRY,0,0,0.0,0.0,0.0,0.0
XAUUSD,532,281,52.819548872180455,0.4412415855289356,0.5845864661654137,2.0111856753884907
