symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
AUDCAD,2025Q1,30,16,53.33,0.576,2.3,True
AUDCAD,2025Q2,34,20,58.82,0.559,2.36,True
AUDCAD,2025Q3,41,19,46.34,0.15,1.31,False
AUDCAD,2025Q4,36,14,38.89,0.103,1.18,False
AUDCAD,2026Q1,15,7,46.67,0.218,1.41,False
AUDCHF,2023Q1,25,12,48.0,0.215,1.42,False
AUDCHF,2023Q2,31,15,48.39,0.335,1.74,True
AUDCHF,2023Q3,40,21,52.5,0.429,2.01,True
AUDCHF,2023Q4,40,17,42.5,0.178,1.32,False
AUDCHF,2024Q1,27,11,40.74,0.183,1.36,False
AUDCHF,2024Q2,33,16,48.48,0.207,1.44,True
AUDCHF,2024Q3,41,23,56.1,0.603,2.42,True
AUDCHF,2024Q4,35,15,42.86,0.276,1.52,False
AUDCHF,2025Q1,24,13,54.17,0.458,2.03,False
AUDCHF,2025Q2,36,14,38.89,0.073,1.13,False
AUDCHF,2025Q3,33,19,57.58,0.395,1.93,True
AUDCHF,2025Q4,32,19,59.38,0.66,2.67,True
AUDCHF,2026Q1,15,4,26.67,-0.101,0.84,False
AUDJPY,2023Q1,27,7,25.93,-0.404,0.45,False
AUDJPY,2023Q2,37,19,51.35,0.495,2.23,True
AUDJPY,2023Q3,26,11,42.31,-0.014,0.98,False
AUDJPY,2023Q4,36,20,55.56,0.569,2.41,True
AUDJPY,2024Q1,37,14,37.84,-0.081,0.87,False
AUDJPY,2024Q2,33,18,54.55,0.447,2.11,True
AUDJPY,2024Q3,33,16,48.48,0.364,1.72,True
AUDJPY,2024Q4,18,10,55.56,0.577,2.3,False
AUDJPY,2025Q1,29,12,41.38,0.153,1.27,False
AUDJPY,2025Q2,29,11,37.93,-0.075,0.88,False
AUDJPY,2025Q3,44,22,50.0,0.339,1.68,True
AUDJPY,2025Q4,34,19,55.88,0.543,2.44,True
AUDJPY,2026Q1,18,6,33.33,-0.065,0.89,False
AUDNZD,2023Q1,34,15,44.12,0.255,1.48,False
AUDNZD,2023Q2,36,18,50.0,0.381,1.76,True
AUDNZD,2023Q3,48,24,50.0,0.348,1.7,True
AUDNZD,2023Q4,33,10,30.3,-0.214,0.68,False
AUDNZD,2024Q1,33,19,57.58,0.434,2.06,True
AUDNZD,2024Q2,37,18,48.65,0.377,1.78,True
AUDNZD,2024Q3,33,16,48.48,0.304,1.63,True
AUDNZD,2024Q4,26,10,38.46,0.174,1.29,False
AUDNZD,2025Q1,38,20,52.63,0.448,1.95,True
AUDNZD,2025Q2,36,15,41.67,0.221,1.38,False
AUDNZD,2025Q3,60,19,31.67,-0.082,0.88,False
AUDNZD,2025Q4,46,20,43.48,0.271,1.49,False
AUDNZD,2026Q1,17,9,52.94,0.4,1.85,False
AUDUSD,2023Q1,41,22,53.66,0.377,1.94,True
AUDUSD,2023Q2,41,15,36.59,0.019,1.03,False
AUDUSD,2023Q3,33,18,54.55,0.463,2.13,True
AUDUSD,2023Q4,37,18,48.65,0.281,1.61,True
AUDUSD,2024Q1,32,12,37.5,0.077,1.13,False
AUDUSD,2024Q2,42,21,50.0,0.354,1.74,True
AUDUSD,2024Q3,46,24,52.17,0.472,2.05,True
AUDUSD,2024Q4,41,20,48.78,0.526,2.17,True
AUDUSD,2025Q1,23,8,34.78,-0.085,0.87,False
AUDUSD,2025Q2,43,17,39.53,0.063,1.1,False
AUDUSD,2025Q3,49,16,32.65,-0.103,0.85,False
AUDUSD,2025Q4,35,17,48.57,0.464,2.01,True
AUDUSD,2026Q1,14,9,64.29,0.749,3.5,False
CADCHF,2023Q1,55,39,70.91,0.62,3.59,True
CADCHF,2023Q2,54,30,55.56,0.367,1.99,True
CADCHF,2023Q3,67,34,50.75,0.345,1.87,True
CADCHF,2023Q4,59,30,50.85,0.304,1.84,True
CADCHF,2024Q1,53,20,37.74,-0.016,0.97,False
CADCHF,2024Q2,47,22,46.81,0.129,1.26,False
CADCHF,2024Q3,55,34,61.82,0.367,1.97,True
CADCHF,2024Q4,61,32,52.46,0.226,1.57,True
CADCHF,2025Q1,56,29,51.79,0.375,2.02,True
CADCHF,2025Q2,59,30,50.85,0.311,1.71,True
CADCHF,2025Q3,56,29,51.79,0.432,2.06,True
CADCHF,2025Q4,55,29,52.73,0.297,1.65,True
CADCHF,2026Q1,28,12,42.86,0.13,1.26,False
CADJPY,2023Q1,38,14,36.84,-0.022,0.96,False
CADJPY,2023Q2,44,23,52.27,0.398,2.01,True
CADJPY,2023Q3,38,21,55.26,0.369,1.87,True
CADJPY,2023Q4,35,20,57.14,0.495,2.21,True
CADJPY,2024Q1,38,17,44.74,0.226,1.45,False
CADJPY,2024Q2,34,18,52.94,0.439,2.05,True
CADJPY,2024Q3,44,18,40.91,0.087,1.15,False
CADJPY,2024Q4,34,13,38.24,0.138,1.26,False
CADJPY,2025Q1,31,18,58.06,0.463,2.18,True
CADJPY,2025Q2,46,20,43.48,0.203,1.37,False
CADJPY,2025Q3,38,21,55.26,0.488,2.13,True
CADJPY,2025Q4,37,18,48.65,0.418,1.91,True
CADJPY,2026Q1,18,9,50.0,0.295,1.62,False
CHFJPY,2023Q1,25,10,40.0,0.088,1.18,False
CHFJPY,2023Q2,32,17,53.12,0.338,1.77,True
CHFJPY,2023Q3,33,21,63.64,0.712,3.1,True
CHFJPY,2023Q4,39,22,56.41,0.459,2.23,True
CHFJPY,2024Q1,22,8,36.36,0.127,1.22,False
CHFJPY,2024Q2,31,17,54.84,0.51,2.22,True
CHFJPY,2024Q3,23,11,47.83,0.281,1.54,False
CHFJPY,2024Q4,14,5,35.71,-0.057,0.91,False
CHFJPY,2025Q1,20,8,40.0,0.131,1.22,False
CHFJPY,2025Q2,29,11,37.93,0.08,1.14,False
CHFJPY,2025Q3,33,13,39.39,-0.031,0.95,False
CHFJPY,2025Q4,30,13,43.33,0.265,1.48,False
CHFJPY,2026Q1,9,5,55.56,0.546,2.23,False
EURAUD,2023Q1,35,15,42.86,0.182,1.33,False
EURAUD,2023Q2,37,18,48.65,0.33,1.69,True
EURAUD,2023Q3,39,13,33.33,-0.1,0.84,False
EURAUD,2023Q4,32,17,53.12,0.408,1.91,True
EURAUD,2024Q1,34,13,38.24,0.008,1.01,False
EURAUD,2024Q2,37,19,51.35,0.348,1.76,True
EURAUD,2024Q3,37,19,51.35,0.39,1.85,True
EURAUD,2024Q4,38,17,44.74,0.266,1.54,False
EURAUD,2025Q1,28,12,42.86,0.197,1.37,False
EURAUD,2025Q2,37,16,43.24,0.154,1.27,False
EURAUD,2025Q3,42,26,61.9,0.713,2.95,True
EURAUD,2025Q4,42,21,50.0,0.204,1.42,True
EURAUD,2026Q1,22,11,50.0,0.342,1.68,False
EURCAD,2025Q1,78,41,52.56,0.473,2.04,True
EURCAD,2025Q2,111,49,44.14,0.206,1.4,False
EURCAD,2025Q3,89,47,52.81,0.413,1.98,True
EURCAD,2025Q4,107,55,51.4,0.401,1.88,True
EURCAD,2026Q1,50,25,50.0,0.309,1.64,True
EURCHF,2023Q1,88,37,42.05,0.071,1.12,False
EURCHF,2023Q2,126,63,50.0,0.324,1.7,True
EURCHF,2023Q3,95,47,49.47,0.268,1.55,True
EURCHF,2023Q4,111,54,48.65,0.321,1.7,True
EURCHF,2024Q1,108,56,51.85,0.371,1.83,True
EURCHF,2024Q2,94,52,55.32,0.473,2.1,True
EURCHF,2024Q3,93,48,51.61,0.388,1.87,True
EURCHF,2024Q4,99,51,51.52,0.4,1.9,True
EURCHF,2025Q1,86,37,43.02,0.248,1.48,False
EURCHF,2025Q2,96,47,48.96,0.398,1.89,True
EURCHF,2025Q3,106,50,47.17,0.249,1.51,False
EURCHF,2025Q4,114,47,41.23,0.126,1.22,False
EURCHF,2026Q1,67,39,58.21,0.574,2.45,True
EURGBP,2023Q1,38,21,55.26,0.451,2.15,True
EURGBP,2023Q2,57,22,38.6,0.158,1.27,False
EURGBP,2023Q3,43,23,53.49,0.437,2.01,True
EURGBP,2023Q4,72,29,40.28,0.158,1.27,False
EURGBP,2024Q1,44,25,56.82,0.464,2.18,True
EURGBP,2024Q2,52,23,44.23,0.305,1.64,False
EURGBP,2024Q3,50,24,48.0,0.3,1.62,True
EURGBP,2024Q4,49,25,51.02,0.426,1.93,True
EURGBP,2025Q1,41,16,39.02,0.119,1.21,False
EURGBP,2025Q2,48,17,35.42,-0.094,0.85,False
EURGBP,2025Q3,53,30,56.6,0.469,2.12,True
EURGBP,2025Q4,72,32,44.44,0.198,1.37,False
EURGBP,2026Q1,38,20,52.63,0.427,1.96,True
EURJPY,2025Q1,27,13,48.15,0.335,1.73,False
EURJPY,2025Q2,31,13,41.94,0.245,1.46,False
EURJPY,2025Q3,29,11,37.93,0.15,1.28,False
EURJPY,2025Q4,42,25,59.52,0.609,2.5,True
EURJPY,2026Q1,13,4,30.77,-0.147,0.73,False
EURSEK,2023Q1,34,16,47.06,0.279,1.61,False
EURSEK,2023Q2,27,15,55.56,0.468,2.05,False
EURSEK,2023Q3,33,14,42.42,0.285,1.61,False
EURSEK,2023Q4,34,19,55.88,0.494,2.18,True
EURSEK,2024Q1,42,21,50.0,0.452,1.97,True
EURSEK,2024Q2,29,14,48.28,0.16,1.33,False
EURSEK,2024Q3,39,22,56.41,0.598,2.67,True
EURSEK,2024Q4,31,15,48.39,0.342,1.68,True
EURSEK,2025Q1,30,17,56.67,0.606,2.61,True
EURSEK,2025Q2,26,8,30.77,-0.149,0.76,False
EURSEK,2025Q3,22,8,36.36,0.029,1.05,False
EURSEK,2025Q4,47,24,51.06,0.334,1.68,True
EURSEK,2026Q1,22,12,54.55,0.403,1.89,False
EURTRY,2023Q1,35,15,42.86,0.153,1.28,False
EURTRY,2023Q2,33,14,42.42,0.122,1.21,False
EURTRY,2023Q3,36,11,30.56,-0.116,0.83,False
EURTRY,2023Q4,39,20,51.28,0.481,2.06,True
EURTRY,2024Q1,33,11,33.33,-0.049,0.92,False
EURTRY,2024Q2,35,11,31.43,-0.018,0.97,False
EURTRY,2024Q3,35,16,45.71,0.269,1.51,False
EURTRY,2024Q4,15,10,66.67,0.779,3.34,False
EURTRY,2025Q1,31,18,58.06,0.573,2.37,True
EURTRY,2025Q2,31,11,35.48,-0.104,0.83,False
