symbol,trades,WR_%,exp_R,gross_$,fee_$,net_$,return_%
AUDCAD,20,80.0,1.235,38.94,5.8,33.14,3.31
AUDCHF,30,53.33,0.591,33.11,16.8,16.31,1.63
AUDJPY,15,53.33,0.354,2.63,5.1,-2.47,-0.25
AUDNZD,46,36.96,0.225,8.94,21.16,-12.22,-1.22
AUDUSD,28,42.86,0.282,15.08,8.4,6.68,0.67
CADCHF,51,29.41,-0.19,-19.91,23.46,-43.37,-4.34
CADJPY,35,48.57,0.369,16.68,8.75,7.93,0.79
CHFJPY,19,52.63,0.64,20.13,9.12,11.01,1.1
EURAUD,24,50.0,0.539,17.47,13.92,3.55,0.36
EURCAD,63,50.79,0.378,52.83,25.83,27.0,2.7
EURCHF,122,44.26,0.269,76.49,50.02,26.47,2.65
EURGBP,59,45.76,0.285,23.27,33.04,-9.77,-0.98
EURJPY,75,48.0,0.235,28.94,27.0,1.94,0.19
EURSEK,34,52.94,0.443,21.17,24.82,-3.65,-0.36
EURTRY,24,54.17,0.625,2.42,0.96,1.46,0.15
EURUSD,29,51.72,0.352,3.26,7.54,-4.28,-0.43
GBPAUD,31,70.97,0.949,82.95,19.84,63.11,6.31
GBPCAD,73,50.68,0.361,74.29,31.39,42.9,4.29
GBPCHF,36,41.67,0.297,26.19,21.24,4.95,0.5
GBPJPY,30,70.0,0.938,61.3,15.0,46.3,4.63
GBPNZD,43,60.47,0.647,53.76,38.27,15.49,1.55
GBPUSD,69,49.28,0.413,64.69,22.08,42.61,4.26
NZDJPY,35,45.71,0.358,15.56,21.7,-6.14,-0.61
NZDUSD,122,43.44,0.298,45.14,53.68,-8.54,-0.85
USDCAD,34,50.0,0.491,18.2,8.84,9.36,0.94
USDCHF,58,43.1,0.159,6.43,26.68,-20.25,-2.02
USDJPY,45,44.44,0.234,14.74,11.25,3.49,0.35
USDMXN,24,58.33,0.643,64.87,28.8,36.07,3.61
USDTRY,34,8.82,-0.733,-1.6,1.02,-2.62,-0.26
XAUUSD,40,57.5,0.526,419.56,13.6,405.96,40.6
