symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
EURUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,486,50.62,0.519,1.68,69.2,37.23
GBPUSD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1524,46.39,0.392,1.5,30.8,13.78
AUDUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,477,45.49,0.365,1.51,53.8,24.42
NZDUSD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1489,45.6,0.368,1.46,38.5,16.83
USDCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,528,47.54,0.426,1.58,76.9,38.0
USDCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1519,47.53,0.426,1.6,61.5,30.3
USDJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,486,47.53,0.426,1.52,38.5,18.76
EURJPY,OR,f_candle|f_ema,10,1,0.9,NY08-13,1403,45.69,0.371,1.45,38.5,16.92
GBPJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,435,47.13,0.414,1.46,46.2,22.2
AUDJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,401,46.13,0.384,1.47,46.2,21.21
NZDJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,410,42.68,0.28,1.33,23.1,6.22
CADJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,499,47.9,0.437,1.61,46.2,22.97
CHFJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,413,43.83,0.315,1.34,30.8,11.21
EURGBP,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,645,45.27,0.358,1.48,53.8,24.19
EURAUD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,460,47.17,0.415,1.53,46.2,22.25
EURCAD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1515,48.05,0.442,1.6,46.2,23.13
EURCHF,OR,f_candle|f_ema,10,1,0.9,NY08-12,1467,45.67,0.37,1.44,38.5,16.9
GBPAUD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,564,43.44,0.303,1.35,30.8,10.82
GBPNZD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,535,42.43,0.273,1.32,23.1,5.97
GBPCAD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1555,45.98,0.379,1.45,30.8,13.37
GBPCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,543,45.67,0.37,1.44,30.8,13.06
AUDCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,527,46.87,0.406,1.59,46.2,21.95
AUDCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,412,48.3,0.449,1.67,46.2,23.38
AUDNZD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,469,43.5,0.305,1.33,38.5,14.73
CADCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1560,48.72,0.462,1.68,69.2,35.33
USDMXN,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,696,54.17,0.625,2.1,92.3,52.32
USDTRY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1619,20.32,-0.39,0.43,0.0,-27.68
EURSEK,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,416,49.28,0.478,1.75,46.2,24.36
EURTRY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,508,36.42,0.093,1.03,7.7,-7.74
XAUUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,665,50.38,0.511,1.8,61.5,33.15
