symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
GBPUSD,0.0,563,45.65,0.369,1.5,20.0,7.65
GBPUSD,0.3,342,44.44,0.333,1.43,20.0,6.44
GBPUSD,0.5,224,43.75,0.312,1.4,20.0,5.75
GBPUSD,0.15,473,43.55,0.307,1.38,20.0,5.55
GBPUSD,0.8,68,50.0,0.5,1.61,0.0,-8.0
EURJPY,0.0,167,45.51,0.365,1.58,20.0,7.51
EURJPY,0.15,142,43.66,0.31,1.48,20.0,5.66
EURJPY,0.3,106,39.62,0.189,1.23,20.0,-8.38
EURJPY,0.5,67,44.78,0.343,1.51,0.0,-13.22
EURJPY,0.8,14,42.86,0.286,1.32,0.0,-15.14
EURCAD,0.0,484,46.69,0.401,1.54,60.0,28.69
EURCAD,0.3,241,42.74,0.282,1.31,20.0,4.74
EURCAD,0.5,127,40.16,0.205,1.2,20.0,2.16
EURCAD,0.15,370,43.51,0.305,1.35,0.0,-4.49
EURCAD,0.8,25,40.0,0.2,1.14,0.0,-18.0
GBPCAD,0.0,519,45.47,0.364,1.46,40.0,17.47
GBPCAD,0.15,422,42.89,0.287,1.32,0.0,-5.11
GBPCAD,0.3,303,39.27,0.178,1.12,0.0,-8.73
GBPCAD,0.5,181,38.12,0.144,1.03,0.0,-9.88
GBPCAD,0.8,49,26.53,-0.204,0.7,0.0,-31.47
AUDCAD,0.0,185,44.86,0.346,1.44,40.0,16.86
AUDCAD,0.15,139,40.29,0.209,1.15,0.0,-7.71
AUDCAD,0.3,98,36.73,0.102,1.01,0.0,-21.27
AUDCAD,0.5,44,34.09,0.023,0.93,0.0,-23.91
AUDCAD,0.8,3,0.0,-1.0,0.0,0.0,-58.0
USDMXN,0.0,255,55.29,0.659,2.21,80.0,47.29
USDMXN,0.15,210,53.81,0.614,2.09,80.0,45.81
USDMXN,0.3,149,45.64,0.369,1.49,20.0,7.64
USDMXN,0.5,71,45.07,0.352,1.51,0.0,-12.93
USDMXN,0.8,22,31.82,-0.045,0.79,0.0,-26.18
XAUUSD,0.0,256,52.73,0.582,1.97,66.7,38.07
XAUUSD,0.15,215,50.7,0.521,1.83,66.7,36.03
XAUUSD,0.3,163,47.85,0.436,1.65,33.3,16.52
XAUUSD,0.5,98,46.94,0.408,1.62,16.7,-2.73
XAUUSD,0.8,33,42.42,0.273,1.46,0.0,-15.58
