symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
GBPUSD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",302,49.34,0.48,1.56,60.0,31.34
GBPUSD,{'require_h1_rsi_align': True},497,48.89,0.467,1.73,60.0,30.89
GBPUSD,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",384,47.92,0.438,1.61,40.0,19.92
GBPUSD,{'require_macd_align': True},334,46.71,0.401,1.39,40.0,18.71
GBPUSD,"{'adx_min': 18.0, 'require_macd_align': True}",263,45.63,0.369,1.22,40.0,17.63
GBPUSD,{'adx_min': 22.0},340,45.59,0.368,1.43,40.0,17.59
GBPUSD,{'add_vol_confirm': True},581,44.92,0.348,1.44,40.0,16.92
GBPUSD,"{'adx_min': 18.0, 'add_vol_confirm': True}",458,44.32,0.33,1.38,40.0,16.32
GBPUSD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",203,46.31,0.389,1.22,20.0,8.31
GBPUSD,{},563,45.65,0.369,1.5,20.0,7.65
GBPUSD,{'adx_min': 18.0},434,44.93,0.348,1.42,20.0,6.93
EURJPY,{'require_h1_rsi_align': True},142,46.48,0.394,1.65,20.0,8.48
EURJPY,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",128,46.09,0.383,1.63,20.0,8.09
EURJPY,{},167,45.51,0.365,1.58,20.0,7.51
EURJPY,{'add_vol_confirm': True},192,45.31,0.359,1.53,20.0,7.31
EURJPY,{'adx_min': 18.0},153,44.44,0.333,1.51,20.0,6.44
EURJPY,"{'adx_min': 18.0, 'add_vol_confirm': True}",176,44.32,0.33,1.44,20.0,6.32
EURJPY,{'adx_min': 22.0},119,44.54,0.336,1.49,20.0,-3.46
EURJPY,{'require_macd_align': True},113,44.25,0.327,1.27,20.0,-3.75
EURJPY,"{'require_h1_rsi_align': True, 'require_macd_align': True}",100,45.0,0.35,1.27,0.0,-13.0
EURJPY,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",72,41.67,0.25,1.03,0.0,-16.33
EURJPY,"{'adx_min': 18.0, 'require_macd_align': True}",97,41.24,0.237,1.07,0.0,-16.76
EURCAD,{'require_h1_rsi_align': True},437,49.66,0.49,1.74,80.0,41.66
EURCAD,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",359,48.75,0.462,1.65,60.0,30.75
EURCAD,{'adx_min': 22.0},323,47.99,0.44,1.64,60.0,29.99
EURCAD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",309,47.9,0.437,1.52,60.0,29.9
EURCAD,{},484,46.69,0.401,1.54,60.0,28.69
EURCAD,{'add_vol_confirm': True},516,46.51,0.395,1.57,60.0,28.51
EURCAD,"{'adx_min': 18.0, 'add_vol_confirm': True}",427,46.37,0.391,1.51,60.0,28.37
EURCAD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",221,47.96,0.439,1.48,40.0,19.96
EURCAD,{'adx_min': 18.0},397,46.6,0.398,1.5,40.0,18.6
EURCAD,{'require_macd_align': True},336,44.94,0.348,1.34,20.0,6.94
EURCAD,"{'adx_min': 18.0, 'require_macd_align': True}",273,44.69,0.341,1.31,20.0,6.69
GBPCAD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",331,51.36,0.541,1.82,100.0,53.36
GBPCAD,{'require_macd_align': True},360,49.72,0.492,1.69,80.0,41.72
GBPCAD,"{'adx_min': 18.0, 'require_macd_align': True}",287,49.13,0.474,1.55,60.0,31.13
GBPCAD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",241,50.62,0.519,1.67,40.0,22.62
