symbol,trades,wr_net_%,gross_$,fee_$,net_$,return_%,max_DD_%,fwd_WR_%,fwd_net_$,fwd_return_%,fwd_trades,score
GBPUSD,870,49.89,935.58,278.4,657.18,65.72,-2.95,49.28,42.61,4.26,69,41.56814505762712
XAUUSD,532,52.44,2110.06,180.88,1929.18,192.92,-11.92,57.5,405.96,40.6,40,26.004735559731543
GBPCAD,969,50.57,929.95,416.67,513.28,51.33,-4.59,50.68,42.9,4.29,73,22.270360343790852
USDMXN,545,55.23,1169.25,654.0,515.25,51.52,-4.68,58.33,36.07,3.61,24,18.787263384615386
EURJPY,864,49.77,686.49,311.04,375.45,37.54,-4.06,48.0,1.94,0.19,75,17.155831779310347
EURUSD,486,50.41,342.61,126.36,216.25,21.62,-2.31,51.72,-4.28,-0.43,29,14.021975767965369
EURCAD,957,49.32,705.87,392.37,313.5,31.35,-7.91,50.79,27.0,2.7,63,7.650766558786346
USDJPY,595,44.87,339.0,148.75,190.25,19.02,-4.49,44.44,3.49,0.35,45,6.063326071269487
EURCHF,1283,47.54,696.72,526.03,170.69,17.07,-6.13,44.26,26.47,2.65,122,6.0446078544861335
USDCHF,648,47.99,564.31,298.08,266.23,26.62,-7.98,43.1,-20.25,-2.02,58,5.276465620050126
AUDCAD,431,48.72,197.86,124.99,72.87,7.29,-2.61,80.0,33.14,3.31,20,3.8946096000000003
GBPJPY,515,46.21,410.17,257.5,152.67,15.27,-6.65,70.0,46.3,4.63,30,3.2151111293233083
CADCHF,705,49.65,453.85,324.3,129.55,12.95,-7.15,29.41,-43.37,-4.34,51,3.0664603846153846
AUDUSD,477,44.65,258.78,143.1,115.68,11.57,-5.11,42.86,6.68,0.67,28,2.9863754931506845
NZDUSD,1318,47.12,687.61,579.92,107.69,10.77,-8.58,43.44,-8.54,-0.85,122,2.7420610797202793
USDCAD,528,46.21,215.17,137.28,77.89,7.79,-4.28,50.0,9.36,0.94,34,2.5702952112149533
CADJPY,475,46.32,163.96,118.75,45.21,4.52,-3.98,48.57,7.93,0.79,35,1.5518363819095478
GBPCHF,621,45.25,424.42,366.39,58.03,5.8,-9.47,41.67,4.95,0.5,36,0.8984824709609291
CHFJPY,340,46.18,196.62,163.2,33.42,3.34,-7.56,52.63,11.01,1.1,19,0.5467809735449736
GBPAUD,443,46.95,299.0,283.52,15.48,1.55,-7.17,70.97,63.11,6.31,31,0.2929169246861925
EURSEK,416,47.12,308.09,303.68,4.41,0.44,-10.03,52.94,-3.65,-0.36,34,0.05853967058823529
EURAUD,460,45.43,251.92,266.8,-14.88,-1.49,-7.87,50.0,3.55,0.36,24,-0.2511522795425667
USDTRY,260,21.15,-7.45,7.8,-15.25,-1.52,-1.79,8.82,-2.62,-0.26,34,-0.5349720670391062
AUDJPY,401,45.64,107.13,136.34,-29.21,-2.92,-4.43,53.33,-2.47,-0.25,15,-0.8429326808126413
AUDCHF,412,46.36,170.34,230.72,-60.38,-6.04,-7.97,53.33,16.31,1.63,30,-0.9921714750313676
EURTRY,394,40.86,-1.51,15.76,-17.27,-1.73,-1.98,54.17,1.46,0.15,24,-0.9953413454545457
NZDJPY,360,41.39,83.86,223.2,-139.34,-13.93,-14.23,45.71,-6.14,-0.61,35,-1.1020734673225576
AUDNZD,477,37.95,60.23,219.42,-159.19,-15.92,-15.96,36.96,-12.22,-1.22,46,-1.1182333684210526
GBPNZD,576,42.19,237.66,512.64,-274.98,-27.5,-30.69,60.47,15.49,1.55,43,-1.1916028673835124
EURGBP,657,43.07,195.62,367.92,-172.3,-17.23,-19.84,45.76,-9.77,-0.98,59,-1.2395697960685486
