entry_time,exit_time,side,entry,sl,tp,exit,qty,pnl,balance_after,result,exit_minus_entry,cumulative_pnl
2025-06-07 16:15:00+00:00,2025-06-07 16:50:00+00:00,buy,6.229,6.137,6.321000000000001,6.321000000000001,1086.9565217391241,99.99999999999999,10100.0,win,0.09200000000000053,99.99999999999999
2025-06-07 21:20:00+00:00,2025-06-07 22:25:00+00:00,buy,6.277,6.194,6.36,6.36,1216.8674698795153,101.0,10201.0,win,0.08300000000000018,201.0
2025-06-08 01:00:00+00:00,2025-06-08 04:00:00+00:00,buy,6.373,6.282,6.464,6.282,1120.9890109890086,-102.01,10098.99,loss,-0.09100000000000019,98.99
2025-06-08 16:30:00+00:00,2025-06-09 05:40:00+00:00,buy,6.349,6.252,6.446000000000001,6.252,1041.1329896907173,-100.98990000000002,9998.0001,loss,-0.09700000000000042,-1.999900000000025
2025-06-09 13:10:00+00:00,2025-06-09 14:25:00+00:00,buy,6.414000000000001,6.277,6.551000000000001,6.551000000000001,729.7810291970778,99.98000099999999,10097.980101,win,0.13700000000000045,97.98010099999996
2025-06-09 19:15:00+00:00,2025-06-10 00:00:00+00:00,buy,6.5440000000000005,6.451,6.637000000000001,6.637000000000001,1085.8043119354736,100.97980100999997,10198.95990201,win,0.09300000000000086,198.95990200999995
2025-06-10 00:10:00+00:00,2025-06-10 01:40:00+00:00,buy,6.696000000000001,6.5729999999999995,6.819000000000002,6.819000000000002,829.1837318707243,101.9895990201,10300.9495010301,win,0.12300000000000111,300.94950103009995
2025-06-10 02:40:00+00:00,2025-06-10 03:10:00+00:00,buy,6.8500000000000005,6.761,6.939000000000001,6.939000000000001,1157.4100562955114,103.009495010301,10403.958996040401,win,0.08900000000000041,403.95899604040096
2025-06-10 04:30:00+00:00,2025-06-10 04:35:00+00:00,buy,6.942,6.834,7.050000000000001,7.050000000000001,963.3295366704027,104.03958996040402,10507.998586000806,win,0.10800000000000054,507.99858600080495
2025-06-10 04:45:00+00:00,2025-06-10 14:20:00+00:00,buy,7.156000000000001,6.84,7.472000000000001,7.472000000000001,332.53160082280954,105.07998586000805,10613.078571860813,win,0.3160000000000007,613.078571860813
2025-06-10 14:30:00+00:00,2025-06-10 14:40:00+00:00,buy,7.556,7.207999999999998,7.904000000000002,7.904000000000002,304.973522179907,106.13078571860812,10719.20935757942,win,0.34800000000000164,719.2093575794211
2025-06-10 15:15:00+00:00,2025-06-13 03:00:00+00:00,buy,8.056999999999999,7.394,8.719999999999997,7.394,161.67736587600973,-107.1920935757942,10612.017264003627,loss,-0.6629999999999985,612.0172640036269
2025-06-13 03:10:00+00:00,2025-06-13 03:30:00+00:00,sell,7.351,7.585,7.117,7.117,453.50501128220634,106.12017264003627,10718.137436643663,win,-0.23399999999999999,718.1374366436631
2025-06-13 03:40:00+00:00,2025-06-13 04:10:00+00:00,sell,7.061999999999999,7.348,6.775999999999999,6.775999999999999,374.76005023229527,107.18137436643663,10825.3188110101,win,-0.2860000000000005,825.3188110100998
2025-06-13 12:15:00+00:00,2025-06-13 18:40:00+00:00,sell,7.314,7.501,7.127,7.501,578.8940540647104,-108.25318811010101,10717.0656229,loss,0.18700000000000028,717.0656228999987
2025-06-14 01:05:00+00:00,2025-06-14 01:55:00+00:00,buy,7.517999999999999,7.409,7.626999999999998,7.626999999999998,983.2170296238613,107.170656229,10824.236279129,win,0.1089999999999991,824.2362791289987
2025-06-14 02:05:00+00:00,2025-06-14 04:15:00+00:00,buy,7.6690000000000005,7.492,7.846000000000001,7.492,611.5387728321452,-108.24236279129,10715.99391633771,loss,-0.1770000000000005,715.9939163377087
2025-06-14 04:40:00+00:00,2025-06-14 07:00:00+00:00,buy,7.593,7.462,7.724,7.462,818.0148027738695,-107.15993916337709,10608.833977174332,loss,-0.13100000000000023,608.8339771743316
2025-06-14 11:00:00+00:00,2025-06-14 11:05:00+00:00,sell,7.411,7.495,7.326999999999999,7.326999999999999,1262.9564258540793,106.0883397717433,10714.922316946075,win,-0.08400000000000052,714.922316946075
2025-06-14 13:15:00+00:00,2025-06-14 16:10:00+00:00,sell,7.273,7.368,7.177999999999999,7.368,1127.8865596785267,-107.14922316946077,10607.773093776614,loss,0.09500000000000064,607.7730937766141
2025-06-14 18:00:00+00:00,2025-06-14 18:45:00+00:00,sell,7.244,7.333,7.154999999999999,7.154999999999999,1191.8846172782658,106.07773093776615,10713.85082471438,win,-0.08900000000000041,713.8508247143802
2025-06-14 19:45:00+00:00,2025-06-15 01:15:00+00:00,sell,7.122999999999999,7.276000000000001,6.969999999999998,7.276000000000001,700.2516878898226,-107.13850824714382,10606.712316467236,loss,0.15300000000000136,606.7123164672364
2025-06-15 10:15:00+00:00,2025-06-15 19:25:00+00:00,sell,7.205,7.306,7.104,7.104,1050.169536283885,106.06712316467237,10712.779439631908,win,-0.10099999999999998,712.7794396319088
